publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
Caudillo history of Spanish civil war /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=150	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000150	RAW
Hernandez Martin Fierro /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=152	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000152	RAW
Cortazar Cartas de Mama /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=156	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000156	RAW
El Cantar de mio cid									http://fod.infobase.com/PortalPlaylists.aspx?xtid=159	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000159	RAW
Cervantes el licenciado vidriera /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=162	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000162	RAW
Lope de Vega Fuenteovejuna /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=164	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000164	RAW
La leyenda del Alcalde de Zalamea									http://fod.infobase.com/PortalPlaylists.aspx?xtid=165	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000165	RAW
Jose de Larra articulos de costumbre /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=166	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000166	RAW
Goya his life and art /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=169	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000169	RAW
Gabriel García Márquez la magia de lo real /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=176	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000176	RAW
One word of truth									http://fod.infobase.com/PortalPlaylists.aspx?xtid=738	Anglo-Nordic Productions Trust.			fulltext		 Films Media Group,									100000738	RAW
Euripides Medea /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=748	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000748	RAW
Marcus Garvey toward black nationhood /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=752	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000752	RAW
Olivier's King Lear									http://fod.infobase.com/PortalPlaylists.aspx?xtid=772	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000772	RAW
Il Duce									http://fod.infobase.com/PortalPlaylists.aspx?xtid=787	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000787	RAW
Brother, can you spare a dime?									http://fod.infobase.com/PortalPlaylists.aspx?xtid=788	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000788	RAW
Coastal dunes									http://fod.infobase.com/PortalPlaylists.aspx?xtid=797	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000797	RAW
Glacial deposits									http://fod.infobase.com/PortalPlaylists.aspx?xtid=800	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000800	RAW
Fossils reptiles and mammals /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=806	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000806	RAW
Origins of change heredity and mutation /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=812	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000812	RAW
DNA and the evidence for evolution									http://fod.infobase.com/PortalPlaylists.aspx?xtid=813	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000813	RAW
Kate Chopin joy that kills /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=817	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000817	RAW
D.H. Lawrence as Son and Lover									http://fod.infobase.com/PortalPlaylists.aspx?xtid=818	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000818	RAW
Introduction to the body landscapes and interiors /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=821	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000821	RAW
Eyes and ears									http://fod.infobase.com/PortalPlaylists.aspx?xtid=823	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000823	RAW
Cell duplication growth and change /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=825	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000825	RAW
Digestion eating to live /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=827	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000827	RAW
Breakdown									http://fod.infobase.com/PortalPlaylists.aspx?xtid=828	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000828	RAW
Muscles and joints muscle power /									http://fod.infobase.com/PortalPlaylists.aspx?xtid=829	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000829	RAW
Moving parts									http://fod.infobase.com/PortalPlaylists.aspx?xtid=830	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000830	RAW
Decision									http://fod.infobase.com/PortalPlaylists.aspx?xtid=832	Films for the Humanities & Sciences (Firm)			fulltext		 Films Media Group,									100000832	RAW
